stars,comment
5.0 out of 5 stars,"









  
  
    
  I've used a total of four DeathAdder. It's my favorite mouse because it's very comfortable to use. For me with a smaller palm, it can also fit my palm. But Razer's mouse will double-click in three years on average. The first three DeathAdders had double-click problems in my third year of use. My last DeathAdder 2013 I used for nearly six years. Then before Black Friday, it got sick. So I wobbled between ROG and the new version of DeathAdder. The final price convinced me to buy Razer. When I got it, I thought it was lighter than older. It moves more smoothly. The button sounds clear. If Razer can have better quality on the switch, or learn to use ROG without welding, I think I will buy Razer forever.And, I love RGB!When it reached a year, its scroll broke. I contacted Razer and they changed the V2 version for me.

  
"
2.0 out of 5 stars,"









  
  
    
  This was suggested to be used with PlayStation. It didn't work. (Shocker) but that isn't why I am deducting stars.The spyware on this mouse is insane, constant pop-ups, and you have to give it way too many permissions. A mouse should not require that much crap. It is ergonomic, and a very attractive mouse, which made the hubby all that more disappointed when it was so intrusive on the computer and wouldn't work as intended. I ended up gifting it to someone who doesn't care about their privacy because it was on sale.

  
"
1.0 out of 5 stars,"









  
  
    
  I bought this mouse in April and it’s already triple and double clicking on me. I use this one for work... this model of Razer  mice do not last. I have gone through 5 death adder mice in 5 years. I’m now trying a mamba for home. Let’s see how long this one lasts. These will be my last razer products. I have a key board that still works from them. But let’s be honest... their software is just another forced bloat ware to use all the features of the product. You can use them without installing the software. But at that point, just get a better mouse you don’t have to control.

  
"
1.0 out of 5 stars,"









  
  
    
  I've owned mine for under a year and I have noticed over the past two months it is going haywire.First the mouse would subtly register that I was moving the mouse forward on the surface, slowly moving the arrow up on the screen despite holding the mouse completely stationary.Second (and the real doozy) it has stopped registering clicks on left and right mouse buttons. It is infrequent, there is no indication of a pressure issue... it just misses probably one in 5 clicks on the left and one in 20 on the right.Final note, as everyone else has stated the bloatware for this brand is rediculous.Should have trusted my gut originally, going with a better brand.

  
"
5.0 out of 5 stars,"









  
  
    
  I got this razer deathadder V2 affer my friend recommended the elite. This mouse if pretty light and feels absolutely fantastic in the hand. For the record, my hand is roughly 7.5cm x 19cm. Great for either palm or claw grip. It glides supper smooth, however a mouse bungee will probably be needed. I got this after trying the ultralight cooler master mm711. the cooler master is light, but feels cheap and not nearly the same quality as the razer. No wonder the shape hasn't changed since 2006! Buttons are firm and responsive. All buttons are easy to click especially when playing fps games. Also this mouse won't slip out of your hand even if you tried. Overall, it is highly recommended. Lastly, the RGB is bright and beautiful.

  
"
5.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   Nice mouse so far, I upgraded from a basic dell mouse, so not sure if my comment is worth anything to the true gamers.I definitely recommend getting the large mouse pad also (sold separately), it’s called The “Razer Gigantus large gaming mouse mat” (17.5”x17.5”) Colors change automatically, I didn’t download the razer control drivers for it, so this is what it does straight out of the box (0:53 video I included with this comment)Feels good in my hand, and I like the mouse pointer speed controls on the mouse.I’ll post again for wear and tear update...

  
"
5.0 out of 5 stars,"









  
  
    
  I’ve been playing MMOs like World of Warcraft for over a decade but I’ve never invested in a quality gaming mouse before; I’ve only just used the mouse that came with my computer. When I saw this Razer Deathadder Elite on Prime Day for only $35 I thought I’d give it a shot.So far I am glad that I did. I enjoy the feel of the mouse, though it is a bit larger than what I am used to and will take a little time to become comfortable for my use. It feels like a quality mouse made from premium materials, the ever-changing colors around the mouse-wheel and the logo are gorgeous. It does seem to be a bit too sensitive and I may need to dial down the sensitivity myself, but I imagine that people who play games like Call of Duty on their computers would absolutely love the sensitivity and super-fast response.I probably would not spend $70 for a mouse myself, but I wouldn’t judge a hardcore gamer for doing so. But for the Prime Day deal it was a no-brainer.

  
"
5.0 out of 5 stars,"









  
  
    
  EDIT: I Love this mouse now! I've gotten used to it naturally over the course of a week or so, and everything seems fine about it. It must have just been a lot bigger than my previous mouse and overwhelmed me a little. I'll leave what I wrote below, because that was my true initial response, but I also just want to say I'm happy I didnt return it too hastily. It fits my hand very nicely now.Also, the colors are beautiful! You can choose from the full RBG, not just a few.Original Post: When I hold the mouse in my normal grip I cannot reach both side buttons. My thumb rests comfortably on the bottom side button, but I simply cant reach the top side button without releasing my grip on the mouse and shifting. I had no idea a mouse fitting in my grip style was a thing, but this is just uncomfortable for me.While the mouse seems perfect, I'm going to to find something else. It's not for me

  
"
5.0 out of 5 stars,"









  
  
    
  I've used Death Adder's since I started PC gaming. Each iteration is an improvement from the previous predecessor.  While still a comfortable mouse, it's not the most comfortable to use, but is fine for hours. The LED's are nice, and I like the additional texture added to the scroll wheel. Additional buttons all work well.The only issues I've had with any Death Adder is that the scroll wheel click will sometimes give out entirely, and the left click will also become worn, and not register holding down. But with intense use, this is probably expected, and doesn't occur usually within the first year.

  
"
4.0 out of 5 stars,"









  
  
    
  I'll preface this by saying that I am a Razer fanboy.  I have an older Naga that is slowly dying (I play games and work with it) after having it for like 4 years. I picked this to replace it because it has a flatter, more ergonomic grip style where the Naga had a claw like grip that an aging gamer like myself can find uncomfortable after a marathon session. I wish it was a tad wider as my pinkie kinda hangs there with nowhere to go or rest on. Now all that is said, it is scale-able in dpi and has responsive buttons as most Razer products do. Chroma works fine though I don't love the software but that's another review. I would recommend it as a good mid level gaming mouse with decent support.

  
"
2.0 out of 5 stars,"









  
  
    
  It would have been perfect if the software worked, I tried everything. I did everything that the Razer support had described, updating windows, turning off the firewall and the antivirus, and installing the latest framework. Without the software, you can’t change the dpi which the default is the lowest. its frustrating when you are in the bios of the motherboard, mouse cursor is SLOW.Update: I accidentally found a way to get the software working, while I was managing the cables in my pc, unplugging and plugging the power switch of the case makes the software appear once again in the desktop if connected the razer mouse. Now I can change the dpi. I’ll still give 3 stars for the inconvenience.... also there is no rgb but I don’t care about that

  
"
5.0 out of 5 stars,"









  
  
    
  ive been using the PC since floppy disks were out. i used the microsoft intelli explorer 3.0 then some logitech mouses then i found the death adder. i have had 3 versions of the death adder (green only, RGB, to this RGB) and just got the new version. i love the mouses. they are good quality and do what i need it to do. the new one i just got the buttons in the center adjust sensitivity out of the box. the two buttons next to thumb can go forward and back in the internet - i dont get crazy with mouse buttons. i dont have the software installed and it still cycles through the RGB colors.  the clicks feel nice and smooth the scroll wheel is sweet too. you can tell a lot about a person by how clean their mouse is - lol! i am not getting paid to write this and just with anything in life it can turn out bad or go well for you. i haven't had any of these die on me just kept upgrading and I use one for work too. if you want a mouse in this price range go for it.

  
"
4.0 out of 5 stars,"









  
  
    
  Having had two Razer Nagas and a Corsair Naga clone before this I was hesitant.  Noticeably more nimble than the laser mice.  After reading hours on laser versus optic it seems like the latter have made a competitive jump in recent generations.  In games like Overwatch and Destiny this mouse effortlessly glides to the target where the Nagas of the past took more effort to find the target.  I would've given this five stars but the Razer has a newer inferior version of Synapse software it pushes you to download.  After uninstalling I found the original software deeper in their website using Google and that worked beautifully.  I'm still keeping my Naga handy but this is now my first choice mouse.

  
"
5.0 out of 5 stars,"









  
  
    
  I resisted Razer products for along time, then used a keyboard.  Logitech's recent quality issues forced me to look for an alternative, and this mouse, quite simply for right-handed, palm user is the best I have found.  Mice I tried that it all best: Logitech G403, G903, G503, G Pro.  The optical button switches in this are just superior to the Logitechs and don't suffer a ghosting problem common in those mice after a period of use.  On top, its the best palm grip I have found to date next to the G403.  I liked this enough I bought one for my desktop and one for my laptop.  Happiness in gaming!

  
"
5.0 out of 5 stars,"









  
  
    
  My first razer mouse was a Naga and I'm not skilled enough to be able to use the number pad on the side. But that mouse lasted me for at least six years, maybe a little longer. I got to the point where I wanted an upgrade and I bought a corsair mouse that developed a double click issue. Frustrated I went to a Steel Series mouse, that one I loved but it ended up going the same way the Corsair did. So, I've come home to Razer and while it's only been a short time, I already feel a difference with the sturdiness of the mouse. Hopefully, six months from now I'll still feel this way.

  
"
2.0 out of 5 stars,"









  
  
    
  Even though they offer a white mouse, Razer still has not provided software support for Mac computers. You have to connect the mouse to a Windows PC to get it configured. The software, Synapse 3, is the only way to configure the mouse's extra features and buttons. Razer has not ported it. Customer service told me Synapse 3 was to be ported ""soon"", although every evidence to the contrary. Looking online, I found people have been waiting YEARS now for that port. Physically, it's a great mouse, although without the software I cannot dim the bright light it emits.

  
"
2.0 out of 5 stars,"









  
  
    
  As above. In order to shut the lights off this mouse I had to search for and install an earlier version of the Synapse program. The current version continually turns the lights back on no matter what I do.Secondly, after one year the left-click button has stopped working properly when holding it down. When I'm holding left-click down to shoot an automatic weapon at someone in Apex Legends, for example, 4 bullets come out and then the gun suddenly stops firing even though I'm still holding left-click down. So I have to quickly press and hold it down again and maybe it will fire properly or maybe it will only fire 5 or 6 bullets in a burst and suddenly stop again. When I googled this issue guess what other people are having the same problem.

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this after my Deathadder V1 died on me after several years of faithful service. The V2 feels just as great as the V1 and still has the same smoothness and responsiveness of the original along with the comfortable feel. the cord is still braided and still looks and feels very high quality. The Razer Synapse software is simple enough to use once you play around with it a bit and it allows you to synchronize with your other RGB Razer gear if you have any. You can also easily change the button mapping using the same software. Highly recommended for not only gaming but for everyday web surfing as well!

  
"
4.0 out of 5 stars,"









  
  
    
  I have been using this mouse for over one year and I highly recommend it.  A big part of the recommendation is the fact that the synapse software lets you store various custom game profiles which is very handy.  It also lets you write macros and assign them to buttons.  The one thing that is a negative is the length of the mouse which is longer than my old one and makes hitting the top left most side button uncomfortable for me as I have to stretch out my thumb to do so.  The other negative is that occasionally  ( a couple times a month) the sensitivity jumps crazy high and forces me to jump out of my game and reset the mouse by switching to another game profile and then switching back.  I don't know what causes this.  I also wish it had 1 or 2 more buttons but I am not sure where they would fit to be comfortable as most mice have the same number of buttons or less. So overall, i highly recommend it, just make sure it is comfortable in your hand.

  
"
5.0 out of 5 stars,"









  
  
    
  This is a pretty good mouse.I had been using the Deathadder 2013 edition for 6 years until the left click stopped working. During the time i was debating what to buy for a new mouse i had been using a free mouse i got (the msi interceptor). You can't really tell the quality of a mouse until you try something awful like the msi one. I decided to go with the new version of the deathadder, this elite version. realloy is elite. Feels great in your hand, even if your hands easily get sweaty there's no slippage. The scroll is super smooth and clicks like butter. Of course these days everyone color coordinates. I'm happy this also has the RGB function rather than just sticking to green.In short, if you don't want all those fancy macro buttons on a mouse and just want a solid, great gaming mouse. This is it. Period.

  
"
1.0 out of 5 stars,"








  
  Your browser does not support HTML5 video.










  
  
    
   This is an update on my previous review. Dropped it to 1 star. I barely used it but now it developed an annoying noise coming from the wheel when I turn it.  This mouse is cheaply constructed, worse than some of my 5-10 year old mouse and absolutely not worth the premium money they are asking for it. Also slippery to hold for anyone who uses claw or fingertip mouse use. Avoid it.

  
"
5.0 out of 5 stars,"









  
  
    
  I'm coming from a Logitech G903, which was a great mouse, ergonomic, light, excellent button press,but unfortunately was unusable as every 2-3 months the primary left or right mouse buttons would stick, not click, lose click, etc.  The Razer Deathadder V2 just came today, and I've been playing Escape From Tarkov and COD, and boy Iam 110% satisfied.  There is no way to describe the material that the body of this mouse is made out of, it feels great,has plenty of grip, and the buttons and scroll wheel are a DREAM.  DO NOT HESITATE TO BUY THIS MOUSE!!!

  
"
3.0 out of 5 stars,"









  
  
    
  The quality is that you would expect for the a cheap mouse. It is sub-pair in comparison to the mice at 60 dollars, but you get what you pay for. I loved this mouse until I realized what the company was doing. The had recently (1-2 years ago) incorporated a key logger into their software, which is fine for just the mouse. But I had one of their keyboards, and I did not want my passwords in their poorly secured server, so the mouse became as useful as an office mouse. It was not very comfortable after trying other mice and I regret ever considering Razer to be a good company.

  
"
1.0 out of 5 stars,"









  
  
    
  The razor synapse software is irredeemably bad. It pops up annoyingly on startup, asks for admin privileges, advertises razor products, forces you to make an account, does not reconnect when signing out of windows. Compare this to my previous mouse software which sat on my taskbar silently, offering literally every feature that this mouse offers with none of the sheer annoyance.

  
"
1.0 out of 5 stars,"









  
  
    
  My 12-year-old son loved this mouse, purchased for his birthday, for about a month, and took impeccable care of it. However, after under a month, the sensor broke. We reinstalled the software, troubleshooted for more than an hour, and attempted to reach the customer service line but were sent to a full mailbox with no way to leave a message, and were disconnected multiple times. The product has a two-year warranty so we were hoping to go through the manufacturer, but ended up needing to go through Amazon return process. Very frustrated with the entire experience.

  
"
2.0 out of 5 stars,"









  
  
    
  I have owned this mouse for just about 5 months now and have, beginning about a month and a half ago, come to experience the same issue that many other reviewers are reporting - the dreaded ""double click"". It began occurring intermittently at first and has gotten progressively worse to the point of me leaving this review. Basically when I press down on the left click button my mouse will sometimes treat it as two clicks instead of one. This is frustrating for numerous reasons - right clicking and clicking on ""open in new tab"" will sometimes open a new tab as well as redirect my current tab due to double click. Clicking over to one tab from another tab will sometimes select then close the tab due to double click. It's really quite frustrating. Not to mention I've had this mouse for just about 5 months.If you are looking for a long term gaming mouse, this isn't it - I would look elsewhere.

  
"
1.0 out of 5 stars,"









  
  
    
  I feel like this mouse is made out of air. Its light and cheap feeling. The RGB on the white version is just.. white - no chroma rgb.I was actually surprised buying this from Razer. I'd never bought a product from them before and this will definatly be the last.I kept it for a week then bought a logitech mouse for 30 dollars. That mouse was league above this one.I really see no reason for this mouse to exist, unless you happen to be a sasquatch with the strength of a toddler.Also to note - I feel like I get more privacy using the drivers to my old chineese gaming mouse than this.

  
"
5.0 out of 5 stars,"









  
  
    
  My girl friend is very new to the gaming world, and I got this mouse for her due to its good price, brand and looks. She absolutely loves it, and has no problems after 2 months of using it. Its pretty light weight, and the chord is long. My girl friend has a palm grip style for her mouse, and she has told me it was very comfortable. I have a claw grip way of using a mouse, and honestly it feels odd in my hand due to the overall curve of the back of the mouse is pretty flat when comparing to my mouse of choice (Logitech g403 and logitech g602 wireless). Overall, its a great and solid buy that you won't regret.

  
"
3.0 out of 5 stars,"









  
  
    
  I had a prior version of the deathadder for many years, and found it to be a great all-around mouse. This new one seems similar in terms of hardware quality, but it seems Razer has made configuration much more difficult. I wasn't able to get razercfg to work on linux, and I hear that the standard solution for Mac/Windows actually _requires_ you to have an internet connection and create an account for your mouse just to customize settings (see https://arstechnica.com/gadgets/2012/11/why-the-hell-does-this-mouse-need-to-connect-to-the-internet/). This wouldn't be such a huge issue, except the default light setting cycles through a rainbow of colors and is pretty distracting (my prior mouse was just a solid green, which I never felt the need to change).Overall, the mouse is well designed but the company has made some questionable software decisions. Why does customizing your mouse need to be so complicated?

  
"
3.0 out of 5 stars,"









  
  
    
  First the good: This is a mouse that sits well in my hand. It's comfortable and feels natural when gaming. The LED lights with customization options (colors etc) were a fun touch.My main gripe lies in the 'rubber side grips'. After about two months of use, one of the side grips loosened and then completely detached. I was able to re-glue it, but it fell off again a week or so later. About a month after that, the 2nd (opposite side) rubber side grip loosened and then detached. This is unacceptable for something that bills itself as a high quality gaming mouse. These grip panels obviously need to be secured by more than whatever adhesive they're using.Otherwise it seems to be a pretty solid piece of tech.

  
"
5.0 out of 5 stars,"









  
  
    
  I needed an ergonomic mouse as my hand was becoming more sensitive while using my smaller mouse.  This is a larger mouse that doesn't require a tight grasp to maneuver.  Very comfortable.  I use it for work.  It has so many bells and whistles, but I use only a smidge of what it can do (sort of like my smart phone)...  I have it programmed for half of its' capable speed and even at that, now when I use my old mouse it feels like I'm pushing it through molasses.  Great mouse, happy with the purchase.

  
"
5.0 out of 5 stars,"









  
  
    
  Ive been using the razer lachesis since like 2009 and its been awesome. It finally stopped working and so i got this. Its awesome....when razer synapse works. Its the most frustrating software cause it crashes on computers startup about 50% of the time no matter how many times i reinstall it. Other than the crappy synapse software, the mouse is great. Glides over the mousepad with ease and the clicks feel great.

  
"
5.0 out of 5 stars,"









  
  
    
  I upgraded to this mouse after my Razer Deathadder Chroma started having double click issues. I've been using the Deathadder Elite for a few months and two things I noticed are: The sensor is noticeably better than the Chroma, and this mouse is a little bit wider in size than the Chroma so you will have to make more movements to turn which took me a few days to get used to. Overall, I would recommend this mouse to anyone looking to upgrade from a Chroma.

  
"
1.0 out of 5 stars,"









  
  
    
  This has to be counterfeit, the mouse broke after 4 months of being used for gaming I refuse to believe razer sold such a poor quality mouse. On top of that it arrived in a refurbished package which the sales page never mentions. I believe that this was an attempt to cut on cost of selling a counterfeit mouse. I don't think I'm ever using amazon for electronics again after this experience.

  
"
4.0 out of 5 stars,"









  
  
    
  Overall this is a 4/5 for me. It is sold as advertized - the glow is cool, feel is solid. The only thing i do NOT like are the 2 side buttons for the thumb. I hit them by accident ALL the time.During a game its no biggie, but i am also doing it on webpages, which forces the browser to go back to the previous page. When shopping online that isnt ideal.True - it may be user error. Just an honest opinion :-)

  
"
1.0 out of 5 stars,"









  
  
    
  You have to leave their program constantly running in order to control the light effect. Just buy a Steelseries.Much better and it doesn't require their software to be always on. Also, razor scroll button is way too bumpy. its sharp and points out.

  
"
5.0 out of 5 stars,"









  
  
    
  I like the extra 2 buttons on top of it.  I dont care about the color (chroma) but its a nice effect.  I havnt done anything with the chroma settings or sync.The buttons and left and right click have a better snap than other razer mice do.  I got this for 40$.  Well worth it.  I'm hoping it stands up better than my other mice; so far it feels like it has a better overall build quality

  
"
4.0 out of 5 stars,"









  
  
    
  This is the most comfortable mouse I have ever used. The performance is of top notch. Still, the material quality could be improved, and I look forward to the on-board memory.

  
"
5.0 out of 5 stars,"









  
  
    
  Uparaded from a RAT 7 gaming mouse, was hesitant because this isn't weighted, but wowowow. Feels great, moves great. Outstanding DPI, colors are awesome. Razor software allows customized syncing with mouse pads for ultimate response times.Shipping was a nightmare. Took almost 3 weeks to get the damn thing (and I have prime), but I can't knock the product for that, that's on amazon.

  
"
4.0 out of 5 stars,"









  
  
    
  This mouse is great and has the perfect feel. Great build quality. The biggest issue is the software. The mouse at its default setting changes colors through the color spectrum. In order to stop this you have to install their software and make an account. Once you choose the color mode you then have to keep the software running. The mouse doesn’t save the setting due to no internal memory. Very frustrating having to give personal information and run software that updates fairly often just to change a mouse setting. I have to assume that the company has opted to not allow you to save the setting without software solely so they can get more email addresses and info from their users. Their software even has a bitcoin miner you can add as an option. This miner gets Razer crypto for their own profits while they give random rewards for your account. This company just wants to force software on its users. How much more blatant can it get.

  
"
5.0 out of 5 stars,"









  
  
    
  I’m 5’1” and this mouse broke my world. It made me realize how big other mice actually are. It noticeably improved my coordination in games and even improved my precision when browsing the internet or doing work.

  
"
5.0 out of 5 stars,"









  
  
    
  I'm probably going to get one of these for work, too.  The precision is amazing.  The switches are great.  I had no idea how sloppy my previous mouse was.  This is not too much to pay for something you're going to use for years.(I did turn the lights off.  Download their Synapse app to change settings.)

  
"
1.0 out of 5 stars,"









  
  
    
  I received a non-authentic mouse that could not be registered.  This was a poor quality knock-off.  I bought this to replace an identical mouse I had used for several years, so I know exactly what is should have been.  It was priced the same as the authentic versions, so I had no clue this was a scam.

  
"
5.0 out of 5 stars,"









  
  
    
  There really isn't much to say about this mouse. There's no documentation that tells how many clicks/rotations before it'll die. It has two buttons on the left side for the thumb for browsing, and there is a light emblem on the rear part of the mouse where the palm rests. It's larger than a standard mouse, so my son (who's 11) says it is more comfortable.

  
"
1.0 out of 5 stars,"









  
  
    
  I'm not a pro gamer, but when I occasionally play, the USB keeps disconnecting in the most critical moments of the game. I noticed it mostly happens when I connect the mouse through my docking station. But my keyboard, which is connected via the same docking station, shows no connectivity issues.The design is not as comfortable for lefties.The entire app experience is a pain. Not intuitive at all. If it was cheaper, I wouldn't have complained. But for this price, the disconnect issue is unacceptable.

  
"
5.0 out of 5 stars,"









  
  
    
  Its got a good feel in your hand and is big enough to support your palm. the click is the same as other razer mice, my only gripe would be the lack of RGB but it was $30 when i got it and it does go green just not other colors.

  
"
